iteration,avg_score,selected_links
26,-113.73383491440416,"[39857 38881 10150 15805 19137 38334 21926 29758 19550 10341  4793  9877
 13108 11241 31966 28097 28528 11000 29040 32697 27522 35981  6355 15644
  2801   230  1749 20958  9297 17537 11962 43148 14807 34703 10358  9093
  1525  7369  7595 15697 21271 36630 41452 27866 17149 14615 26643  4695
  6855   871  2277 28684 28746   885 18478 10513 24853 44686 20985  6387
  8296  1900 14818 14438 39352 11487 11065 26891  7719 35674 14022 33276
 12448   333 33231  5929 37994 16867 44652 28796 23788 33037  6798 37131
 42680 25822 31913 16738   483 19396 41663 40288 23799 28994  3111 19426
 31087  9166 36772 35400]"
27,-116.19697960963911,"[ 8192 35724  5820 38580 43838 13000  4606  6010 12586 29219 44746  1747
 37567 40462  3031 21122 44179 26741 38825 12983 14254 13744 24290 10394
 20296  8159   730 28161 26175  8995 33990 41410  4181  9906 21277  5039
 19185 40882 10603 31393 29289 13838 17897 30134 28424  8300 16759  1108
 25999 31973 15974 25467 45177 41133 15766 13851 39806 34868 34683 18160
 21354  3730  9926 17485 42760  6152 27115 21010 19205 14814  8758   552
 27675 15874 38291 20239 22966   217 20284   992 25675 43144 15465  4844
  6462 34401 18108 28902 40135 43249 15835  5865 35650 39238 28063 34372
 33067 28901 31012  4751]"
28,-113.80021262675832,"[19036   630 37028 40147 15200 41682 14362 28713 11414 33531 14796  5912
 32949 43765 43035 15526 12756 15897 30913 42056 43569 39970 15952 22851
 27050 43503 32871 23432 19540  4769  8268  6522 18728  7461 31654 28375
 27085 43271 27236 11399 25474 23322  8989 21597 33198 34241 12316 41122
  8094 28042  1691  7687 15144  7614 28194 24077 27398 29543 29800  1838
 12007 40181  9628  5055 15237 25273 10424 12790 14815  1405 35907 41097
 33114 25955 20383 14147 30802 37348   601 24061 35112  6385 27153  4279
 29273  4862 13579 31570  6974 37119 31142 12160 28428 39004  9280  1951
 34000 40579   788 15661]"
29,-114.07741794787924,"[ 8999  2738 40245 20979 19958 23088 25919 13935  3511  8119 18755 24460
 15124  8209 43922 39327  4683 11625 25004  5511 27297 32929 21411 40442
 28784 20941 10678 20290 11923 18021  1613 15796 42260  4040 41378 21590
 38815 27172 28309 18921  9735 22934  7884 27440 20410 26432 10786  1662
 36763 35133 41828 18524 30223  3012  9366 26975 34437 25877 10734 40780
 23911 15681  9573 43368 28665 15791  9558 29599 19507 35545 32708 44593
 33118 27657 28990 18805 15536  3529  6062 19641 31904 27291 21159 43743
 41420 17397  6638 25654  8663 32687 43898 40356  2512   758 12549 38887
 43250 31974  3856  4776]"
30,-113.82392868825652,"[42344 36173 42830 20374 35474 15521 43824 22542 14375 21594  8895 22376
 10282 31430 24522 15165 42514 39574 18733 44246 44751  4340  5748 19464
 24661 22828 28986   961  2587 11221 38954 13133 25231 40627 34250 10594
  8766 24229 26673  4052 18690 17579 20935 45077 13217 19230 36665 10852
 18085  9013 14222  3100 35084 36101 17434  6948 26072  4699 41100 13298
 26182 10283 12264 15626 21232 37025 41637 37925 15301 26463 12477 35282
 37024 35416 24907   130 31513  3018 42809 12945  8837 29236 18975  3565
 25517 30139 41833  6519 42005 15393 21633 40687 22675 18691   863 31441
 34458 36159  5888 13244]"
31,-116.1191800239887,"[ 8693 43877 14850 12494 17088 28700 11410 39144 22888 11925 29897 27386
 34420 40282  7126  7265  1140 31510  3679 23440  7904  7762 31098  1418
 14696 13756 15683 26440 38917 20005 10830 27847 26803 32650 14410 32434
  8953 15632 21435 43717 39798 36995   672 13754  2495  4424 37972  9249
  7155  4832 12778 33415 20750 34315 22753  9717  8246  9388  4137  9995
 41202 16005 12075  1465 40041 41606 12085 24820  7303 28801 23228 38120
 28182 41380 28419 23992 29516 12788 17129 31405  1733 11508 21058 30772
 44693 43708 13411  3173  8036  6744 33322 36512 21583 27098   959 40209
 24224  9972 25745 43508]"
32,-116.60800348925966,"[19971 10234 44178 39882 22502 15254 42819 41291  5815  5059 25604 11454
 11772 13497 33851 12229 14061 23299 12989  6499 13485 40425  7612 26479
 16795 42854  4145  9422  7004 11758 23390  4155 18106 37298 27365 19009
 35184 33815 14027 32707 30079  3483 10306  9713  5722   949 34348 22914
 28697  7978 24864 11228  3597  1591 29694 25419 36706 23238 11438 20072
 28062 10774  3535 35274 21050 26456 20933  2682 43517 19682 23186 18124
  9858  9191 37182  7281 18865  9054 40329   939 35863 24424 34115 36134
 25480 14780 17060 40690 14883 11795  5096 22341  7782  2538 27767 39232
 21796  2250 17506 39622]"
33,-117.096499836441,"[22446 10268 14823  1468  9494 13343  3627 37710 40372 29655 27901 41039
  8640 10278 22517 16008  7063 15429  2508   569 33183  4031 32711 34732
 24665  9118 17349 38787  2442  8489 23236 32575  9597 32915 21809  4281
  1726 21451 15250  7748 27506 32423 19515 41661 11995 38094 40715  7330
  8039 28714 24415 29668 43539  8569 42004 42567 13977 19860 42349 37283
 37582 23179 39979 24026 27864 19081 13546 36388 37561 36664  3101  9868
  7296 36456 35263 21575 31569 17095 33200 18599 41925 20411 32813  2921
 15497 30381 28444 43945 11700 25477 31922 29890 29583  1546 35872 40470
 11969 43790 31008 35434]"
34,-116.33521426234871,"[ 5345 37940 28036 35822  3524 38433 34609  3787 36525  5254  6541  8765
 45137  9372  7066 34959    55 42012 11682  3013  8121  4465 14037 23135
  4408 14073 13140 29772 18353 10328 12142 13743  2309  9683 22752  7751
 37440 30944 14826 19480 17563 15411 15591 43637 42695 45179 42483 37631
 26338 16725  3998  4998 19810 19439 28358  9115 24798 17156 31395 32771
 38533 16728  8455 23633 23860 34824  5422 38437 24106  9724 27990 23428
  3707 37330 33212  1481  4828  1731 27983 26997 18791  3862 37789 15940
 10015 43698 38880 12837 18534 26687 26255 22044 39077 41697 41047 27779
  4788  1034 12318 28516]"
35,-113.91045142296376,"[15848 43678 28112  6096  1544 25686 15145  4396  1840 17035  8175 42860
 37135 29570 25275 27154 34855 10085 32979 18866 42065  6410   596  5763
 35679 10574 29415 42263 14906  9144 14848 33179 24263 28712 12760  7532
  3958  7029 10414 42337 27782 10417  1541 41755  2408 12139 30778 41986
  1122 40224 32639 18822 17069  4263 38391 26549 40373 21255  6959 20994
 18536 11277 11035 15993  4911 40320 37290 17990 18460 31162 11355 15323
 45059 23180 27780  3791 29423 32605 40062 32859 42698 32756 12695 32599
 15172 18574  5914 17196 30124 14776 11985 33529  7613 14097 13726 12130
 26670  6665 15180 12525]"
36,-114.19160942100102,"[11273 36589 33280 34002  1246 32416  2389 39953  4557 34601 38024 24242
  5364 20211 30771 17503  8686 35500 16998 23183 37724  7581  3029  1960
  1744  2328 18617 18839  2999 10858 19138 10618 41712 20980  5977 35620
  7364   653 26681  6819  8433 20641  2402 30824  1302 16022 31914 28266
  6930 41834 35377 12154 16117 41290  9227  5863 13126  2432 40708  4868
 27811 41200  3098 12690 12338 34617 22115 35448 22412 15160 27375 37231
 31014 24063 30568 43923 34927 32553 17004 22772 30777  8354 43911  4108
  4051 33378 40317 15610  8979  4287 19726 26379 18988  4001 30716  1529
 31589  4082 38036 28398]"
