link_id,average_reward,count
1729,0.0,0
173,189.7927379782251,2
1730,187.0964585694933,1
1731,0.0,0
1732,0.0,0
1733,0.0,0
1734,0.0,0
1735,0.0,0
1736,0.0,0
1754,0.0,0
1755,0.0,0
1756,0.0,0
176,0.0,0
177,0.0,0
1779,175.57494536389788,1
178,0.0,0
1780,0.0,0
1784,181.3748232917148,1
1785,0.0,0
1786,0.0,0
1788,174.32423223158725,1
179,0.0,0
180,0.0,0
181,0.0,0
182,0.0,0
183,0.0,0
1835,0.0,0
184,0.0,0
1843,0.0,0
1844,186.5660890873025,1
1845,0.0,0
1847,0.0,0
1848,0.0,0
1849,0.0,0
185,0.0,0
1850,0.0,0
1851,183.76178905750788,1
1852,0.0,0
1853,0.0,0
1854,0.0,0
1855,192.11223371781105,1
1856,184.9501567513004,1
1857,0.0,0
1867,0.0,0
1869,0.0,0
1874,0.0,0
1875,0.0,0
1879,0.0,0
1884,0.0,0
1885,0.0,0
1886,0.0,0
1887,0.0,0
1888,0.0,0
1889,0.0,0
1890,0.0,0
1891,0.0,0
1892,0.0,0
1893,0.0,0
1894,0.0,0
1895,0.0,0
1917,0.0,0
1918,0.0,0
1919,0.0,0
1920,0.0,0
1921,0.0,0
1922,196.77756548735505,1
1923,0.0,0
1924,0.0,0
1925,0.0,0
1926,0.0,0
1927,0.0,0
1928,0.0,0
1929,0.0,0
194,0.0,0
196,181.3748232917148,1
197,0.0,0
198,0.0,0
199,182.7408825481617,1
2,0.0,0
200,0.0,0
2008,0.0,0
2009,0.0,0
201,0.0,0
2010,0.0,0
2011,0.0,0
2012,0.0,0
2013,0.0,0
2014,0.0,0
2015,0.0,0
2016,0.0,0
2017,0.0,0
2018,0.0,0
2020,0.0,0
2021,0.0,0
2023,0.0,0
2024,0.0,0
2026,0.0,0
2027,0.0,0
2046,175.57494536389788,1
2047,0.0,0
2048,0.0,0
2049,0.0,0
206,0.0,0
2068,0.0,0
2069,187.0964585694933,1
207,0.0,0
2070,0.0,0
2071,0.0,0
2072,0.0,0
2073,0.0,0
2074,0.0,0
2075,0.0,0
2076,179.0692568114574,1
2077,0.0,0
2078,0.0,0
2079,0.0,0
2080,0.0,0
2081,0.0,0
2082,0.0,0
2083,0.0,0
2084,0.0,0
2085,0.0,0
2086,0.0,0
2088,0.0,0
2090,0.0,0
2093,0.0,0
2094,0.0,0
