link_id,success_count,failure_count,high_score
1540,1.0,5.0,28.087209693653865
1541,1.0,6.0,26.691433295600525
1542,1.0,4.0,26.06958167246828
1543,1.0,5.0,28.84528136347028
1544,3.0,7.0,39.28245338053986
1545,9.0,11.0,39.993322559143024
1546,1.0,5.0,37.03452299281387
1547,3.0,8.0,39.59956998311948
1548,2.0,6.0,34.67764249408211
1549,3.0,8.0,36.808110013066354
155,5.0,9.0,39.87592726254613
1550,1.0,5.0,35.671098989182795
1551,1.0,5.0,32.37355037578068
1552,1.0,6.0,34.69664097202433
156,2.0,6.0,35.574676590613606
157,2.0,6.0,38.0842601177937
1570,1.0,4.0,32.85359097658846
1571,3.0,7.0,33.86597296467696
1575,2.0,5.0,35.51579139017861
1576,14.0,14.0,40.637715791615946
1577,3.0,5.0,38.0842601177937
1579,10.0,11.0,40.78993877840093
158,4.0,8.0,42.04103211161173
1580,3.0,8.0,37.82107418685821
1581,2.0,6.0,36.1895293255556
1582,9.0,11.0,38.39931352360033
1583,5.0,8.0,42.33077675237297
1585,2.0,7.0,29.505240690331373
1586,4.0,6.0,38.27985888519739
1587,1.0,5.0,28.12042433880337
159,7.0,10.0,39.28245338053986
16,1.0,4.0,27.94691615326164
1605,6.0,10.0,39.00324796274548
1606,6.0,9.0,37.82107418685821
1607,2.0,7.0,36.1895293255556
1608,25.0,20.0,42.57203721989794
1609,5.0,8.0,40.201481883055386
1611,1.0,5.0,34.6073023540515
1630,1.0,5.0,36.33504358604007
1632,5.0,7.0,40.89210478760175
1633,3.0,7.0,41.19362906924794
1634,1.0,4.0,31.10901301283285
1639,3.0,6.0,40.88162345828302
1640,1.0,6.0,34.28397119577434
1641,6.0,10.0,40.24111777619159
1642,2.0,5.0,34.10969368725229
1643,2.0,6.0,37.33022589431748
1644,4.0,9.0,38.64110689698306
1645,4.0,6.0,37.58494817604358
1647,1.0,5.0,35.797174606941944
1651,1.0,5.0,33.26035658837033
1652,1.0,6.0,33.63945123849631
1655,3.0,6.0,41.54299610511141
1656,1.0,5.0,31.380364644583807
